Restaurant,Food Type,Food Menu,Location,Reviews,Stars
Little Papa,"['Đồ nước', 'Đồ ăn Việt Nam']","['Phở gà', 'Phở bò', 'Bún bò']","Đống Đa, Hà Nội","['Món ăn ngon vl', 'Siu ngon lun', 'Ăn hơi ngọt không hợp mình lắm']",4.5
Chả Cá Hà Nội,['Nướng'],"['Sườn nướng BBQ', 'Bò nướng tảng', 'Ba chỉ nướng riềng mẻ']","186 Phố Cổ, Gia Lâm, Hà Nội","['Highly recommend', 'Đồ ăn ngon, giá cả hợp lý rất đáng tiền.', 'Không chê vào đâu được. đậm đà hương vị rất đáng tiền.']",5.0
The Vũ's Kitchen,['Đồ ăn vặt'],['Tào phớ'],"139 Đường Thanh Niên, Hai Bà Trưng, Hà Nội","['Sẽ quay lại. trình bày đẹp mắt', 'Quán này đỉnh! rất đáng tiền.', 'Ngon lắm!']",4.5
Sushi Đỗ Việt,['Đồ ăn vặt'],['Trà sữa'],"50 Đường Giải Phóng, Bắc Từ Liêm, Hà Nội","['Đáng thử', 'Sẽ quay lại. giá cả hợp lý', 'Quán này đỉnh! trình bày đẹp mắt chắc chắn sẽ giới thiệu cho bạn bè.']",4.4
Quán Phạm Quê,"['Món Hàn', 'Món Nhật']","['Udon', 'Bibimbap', 'Ramen', 'Cơm lươn Unagi', 'Tteokbokki']","83 Phố Hàng Bài, Hoàng Mai, Hà Nội","['Sẽ quay lại. đậm đà hương vị must try!', 'Đồ ăn ngon, giá cả hợp lý']",4.4
Tiệm Vũ,"['Phở', 'Hải sản', 'Cơm nhà']","['Sò huyết nướng', 'Ghẹ hấp', 'Tôm hùm hấp bia', 'Ốc luộc', 'Cá diếc kho khế', 'Phở xào', 'Phở áp chảo']","45 Đường Kim Mã, Nam Từ Liêm, Hà Nội","['Đồ ăn ngon, phục vụ nhiệt tình rất đáng tiền.']",4.6
Cơm Hoàng,['Đồ ăn Việt Nam'],['Gỏi cuốn'],"128 Đường Giải Phóng, Gia Lâm, Hà Nội","['Siu ngon lun', 'Ngon xuất sắc! giá cả hợp lý sẽ ủng hộ dài dài.', 'Rất hài lòng. món ăn rất vừa miệng chắc chắn sẽ giới thiệu cho bạn bè.']",4.9
Góc Trần,"['Đồ ăn vặt', 'Bún', 'Hải sản']","['Bún đậu mắm tôm', 'Chân gà sả tắc', 'Cua rang me', 'Bún ốc', 'Bún mọc', 'Tôm hùm hấp bia', 'Xoài lắc']","74 Đường Láng, Tây Hồ, Hà Nội",['Ngon xuất sắc! đậm đà hương vị sẽ ủng hộ dài dài.'],4.9
Sushi Lê Sài Gòn,"['Phở', 'Món nhậu', 'Cơm văn phòng']","['Lòng xào dưa', 'Cơm đùi gà', 'Phở chiên phồng', 'Ếch xào sả ớt']","113 Phố Xã Đàn, Gia Lâm, Hà Nội","['Tuyệt vời! món ăn rất vừa miệng', 'Ngon xuất sắc! trình bày đẹp mắt', 'Ngon lắm!']",4.1
Nhà hàng Phan Quê,['Đặc sản vùng miền'],['Cao Lầu Hội An'],"122 Đường Thanh Niên, Đống Đa, Hà Nội","['Ngon xuất sắc! đậm đà hương vị chắc chắn sẽ giới thiệu cho bạn bè.', 'Sẽ quay lại. phục vụ nhiệt tình chắc chắn sẽ giới thiệu cho bạn bè.']",5.0
Bún Phan,['Cơm nhà'],['Thịt rang cháy cạnh'],"142 Đường Giải Phóng, Bắc Từ Liêm, Hà Nội","['Đồ ăn ngon, món ăn rất vừa miệng trải nghiệm ẩm thực tuyệt vời.', 'Đồ ăn ngon, rất đáng tiền.', 'Đáng thử']",4.2
Pizza Ngon,"['Cơm nhà', 'Chay']","['Lẩu nấm chay', 'Canh cua rau đay', 'Rau muống xào tỏi']","37 Đường Kim Mã, Nam Từ Liêm, Hà Nội","['Món ăn ngon vl', 'Quán này đỉnh! món ăn rất vừa miệng 10 điểm không có nhưng.', 'Tuyệt vời! chất lượng tuyệt hảo sẽ ủng hộ dài dài.']",5.0
Phở Sài Gòn,"['Bún', 'Món nhậu']","['Lòng xào dưa', 'Bún ốc', 'Bún cá']","151 Đường Láng, Hoàng Mai, Hà Nội","['Tuyệt vời! trình bày đẹp mắt sẽ ủng hộ dài dài.', 'Sẽ quay lại. phục vụ nhiệt tình sẽ ủng hộ dài dài.']",4.7
The Đặng's Kitchen,['Bún'],['Bún mọc'],"178 Đường Giải Phóng, Đống Đa, Hà Nội",['Sẽ quay lại. đậm đà hương vị must try!'],4.6
Quán Bùi,"['Món Á', 'Sushi', 'Đồ chay quốc tế']","['Pad Thái', 'Sushi cá hồi', 'Gunkan', 'Sushi cuộn California', 'Cà ri gà', 'Sushi Set', 'Sushi cá ngừ']","122 Phố Xã Đàn, Đống Đa, Hà Nội","['Rất hài lòng. đậm đà hương vị chắc chắn sẽ giới thiệu cho bạn bè.', 'Tuyệt vời! trải nghiệm ẩm thực tuyệt vời.', 'Ngon lắm!']",4.7
Sushi Phan Hiện Đại,['Pizza'],"['Pizza Pepperoni', 'Pizza Hải Sản', 'Pizza Hawaiian']","2 Đường Giải Phóng, Khu Phố Mới, Vũng Tàu","['Không chê vào đâu được. phục vụ nhiệt tình', 'Quán này đỉnh! đậm đà hương vị rất đáng tiền.']",5.0
Quán Sài Gòn,['Sushi'],"['Sushi cuộn California', 'Sushi cá ngừ']","136 Đường Nguyễn Trãi, Hoàn Kiếm, Hà Nội","['Quá tệ. phục vụ chậm chạp', 'Bình thường. vị nêm vừa phải cũng là một lựa chọn.']",3.2
Nhà hàng Bùi Quê,"['Lẩu', 'Món nhậu']","['Lẩu nấm', 'Lẩu hải sản', 'Đậu phụ lướt ván', 'Lẩu thái', 'Lòng xào dưa', 'Lẩu ếch', 'Nộm tai heo']","140 Đường Kim Mã, Thanh Xuân, Hà Nội","['Không chê vào đâu được. giá cả hợp lý trải nghiệm ẩm thực tuyệt vời.', 'Rất hài lòng. giá cả hợp lý chắc chắn sẽ giới thiệu cho bạn bè.']",4.9
Bếp Võ Sài Gòn,['Đồ ăn vặt'],"['Chân gà sả tắc', 'Trà sữa', 'Nem chua rán', 'Tào phớ']","130 Đường Nguyễn Trãi, Cầu Giấy, Hà Nội",['Sẽ quay lại. phục vụ nhiệt tình 10 điểm không có nhưng.'],5.0
The Nguyễn's Place,"['Pizza', 'Món Âu']","['Pizza Hải Sản', 'Steak au Poivre', 'Salad Caesar', 'Spaghetti Carbonara', 'Pizza Hawaiian']","96 Đường Nguyễn Trãi, Tây Hồ, Hà Nội","['Siu ngon lun', 'Sẽ quay lại. phục vụ nhiệt tình', 'Tuyệt vời! giá cả hợp lý sẽ ủng hộ dài dài.']",5.0
Lẩu Hồ,['Burger'],"['Burger gà', 'Burger cá']","161 Đường Láng, Gia Lâm, Hà Nội","['Đáng thử', 'Sẽ quay lại. sẽ ủng hộ dài dài.']",4.4
Góc Phan,"['Món Thái', 'Dimsum']","['Xíu mại', 'Bánh bao kim sa', 'Bánh cuốn tôm', 'Cà ri xanh']","181 Đường Giải Phóng, Hà Đông, Hà Nội","['Tuyệt vời! không gian thoáng đãng', 'Tuyệt vời! phục vụ nhiệt tình']",3.6
Little Ngô's Spot,"['Phở', 'Đặc sản vùng miền']","['Cao Lầu Hội An', 'Bánh đa cua Hải Phòng', 'Phở trộn', 'Phở áp chảo', 'Phở cuốn']","33 Đường Kim Mã, Quận Trung Tâm, Nha Trang",['Quán này đỉnh! giá cả hợp lý'],4.9
Cơm Ngô Truyền Thống,"['Burger', 'Đồ ăn vặt', 'Đồ chay quốc tế']","['Cà ri rau củ kiểu Ấn', 'Nem chua rán', 'Tào phớ', 'Pasta chay', 'Burger chay', 'Burger bò phô mai', 'Burger gà']","25 Đường Kim Mã, Thanh Trì, Hà Nội",['Quán này đỉnh! món ăn rất vừa miệng'],4.3
Cơm Truyền Thống,['Phở'],"['Phở trộn', 'Phở chiên phồng', 'Phở áp chảo']","30 Đường Giải Phóng, Tây Hồ, Hà Nội","['Quán này đỉnh! trình bày đẹp mắt sẽ ủng hộ dài dài.', 'Ngon xuất sắc! không gian thoáng đãng rất đáng tiền.']",4.5
Chả Cá Lê Quê,['Lẩu'],['Lẩu thái'],"188 Phố Huế, Tây Hồ, Hà Nội","['Không chê vào đâu được. chất lượng tuyệt hảo', 'Quán này đỉnh! món ăn rất vừa miệng must try!']",4.4
The Hoàng's Kitchen,"['Hải sản', 'Chay']","['Ghẹ hấp', 'Bún riêu chay', 'Mực xào', 'Lẩu nấm chay']","137 Phố Huế, Đống Đa, Hà Nội","['Sẽ quay lại. món ăn rất vừa miệng', 'Quán này đỉnh! giá cả hợp lý chắc chắn sẽ giới thiệu cho bạn bè.']",4.6
Cơm Quê,['Phở'],"['Phở xào', 'Phở trộn', 'Phở chiên phồng', 'Phở cuốn']","5 Phố Cổ, Hoàng Mai, Hà Nội",['Sẽ quay lại. giá cả hợp lý'],3.8
Phở Đặng Đặc Sản,['Lẩu'],"['Lẩu thái', 'Lẩu ếch', 'Lẩu riêu cua bắp bò', 'Lẩu bò nhúng dấm']","115 Đường Nguyễn Trãi, Đống Đa, Hà Nội",['Quán này đỉnh! giá cả hợp lý'],4.1
Tiệm Phan,['Món Trung'],['Mì vằn thắn'],"170 Phố Xã Đàn, Hà Đông, Hà Nội","['Đồ ăn ngon, trình bày đẹp mắt chắc chắn sẽ giới thiệu cho bạn bè.', 'Rất hài lòng. đậm đà hương vị must try!']",4.9
Phở Gia Truyền,['Đồ ăn vặt'],"['Bánh tráng trộn', 'Xoài lắc']","19 Đường Kim Mã, Thanh Xuân, Hà Nội",['Thất vọng! thái độ nhân viên kém cần cải thiện nhiều.'],1.2
The Trương's Place,['Dimsum'],"['Xíu mại', 'Bánh bao kim sa', 'Bánh cuốn tôm', 'Há cảo tôm']","158 Đường Nguyễn Trãi, Thanh Trì, Hà Nội","['Ngon xuất sắc! không gian thoáng đãng', 'Tuyệt vời! giá cả hợp lý rất đáng tiền.', '100 điểm']",5.0
Little Huỳnh's Spot,['Đặc sản vùng miền'],['Bánh đa cua Hải Phòng'],"83 Đường Kim Mã, Khu Phố Mới, Cần Thơ",['Không chê vào đâu được. món ăn rất vừa miệng'],5.0
Cơm Bùi Đặc Sản,"['Đồ ăn Việt Nam', 'Bún', 'Chay']","['Nem chay', 'Bún ốc', 'Bún ngan', 'Canh chua cá', 'Bún trộn']","159 Đường Nguyễn Trãi, Bắc Từ Liêm, Hà Nội","['Trải nghiệm không tốt. cần cải thiện nhiều.', 'Bình thường. vị nêm vừa phải không có gì để phàn nàn nhiều.']",3.2
My Trần's Kitchen,['Đồ ăn vặt'],"['Chân gà sả tắc', 'Trà sữa', 'Chè các loại']","154 Phố Cổ, Thanh Trì, Hà Nội",['Tuyệt vời! giá cả hợp lý chắc chắn sẽ giới thiệu cho bạn bè.'],3.7
Pizza Huỳnh Việt,['Burger'],"['Burger gà', 'Burger cá', 'Burger bò phô mai']","154 Phố Xã Đàn, Gia Lâm, Hà Nội","['Ngon xuất sắc! giá cả hợp lý', 'Sẽ quay lại']",4.2
Little Hoàng's Kitchen,"['Món nhậu', 'Đồ nước']","['Đậu phụ lướt ván', 'Cao lầu', 'Hủ tiếu Nam Vang', 'Lòng xào dưa', 'Phở bò', 'Bún riêu cua']","50 Phố Hàng Bài, Ba Đình, Hà Nội",['Sẽ quay lại. must try!'],5.0
Nhà hàng Hà Nội,"['Bún', 'Cơm nhà']","['Bún đậu mắm tôm', 'Bún mọc', 'Bún ngan', 'Rau muống xào tỏi', 'Bún trộn']","101 Phố Huế, Nam Từ Liêm, Hà Nội",['Rất hài lòng. món ăn rất vừa miệng sẽ ủng hộ dài dài.'],3.6
Quán Lê,"['Hải sản', 'Món Nhật']","['Tempura', 'Sashimi', 'Tôm hùm hấp bia', 'Ramen', 'Mực xào']","104 Phố Bà Triệu, Ba Đình, Hà Nội","['Ngon xuất sắc! giá cả hợp lý chắc chắn sẽ giới thiệu cho bạn bè.', 'Rất ổn', 'Không chê vào đâu được. 10 điểm không có nhưng.']",4.2
My Phạm's Place,"['Đồ ăn Việt Nam', 'Hải sản', 'Đồ nước']","['Bánh xèo', 'Cua rang me', 'Nem rán', 'Thịt kho tàu', 'Canh chua cá', 'Bún bò Huế', 'Mực xào']","119 Phố Bà Triệu, Ven Sông, Đà Lạt","['Đồ ăn ngon, trình bày đẹp mắt rất đáng tiền.']",5.0
Góc Trần,['Bún'],['Bún ngan'],"32 Phố Hàng Bài, Hoàn Kiếm, Hà Nội","['Quán này đỉnh! không gian thoáng đãng sẽ ủng hộ dài dài.', 'Ngon xuất sắc! không gian thoáng đãng sẽ ủng hộ dài dài.']",4.5
Chả Cá Hà Nội,['Pasta'],"['Pasta hải sản', 'Pasta sốt kem nấm', 'Pasta sốt bò bằm', 'Lasagna']","29 Đường Thanh Niên, Hoàng Mai, Hà Nội","['Món ăn ngon vl', 'Không chê vào đâu được. must try!']",5.0
Góc Sài Gòn,"['Món Nhật', 'Món Trung']","['Sủi cảo', 'Tempura', 'Udon', 'Đậu phụ Tứ Xuyên']","182 Phố Hàng Bài, Quận Trung Tâm, Đà Lạt","['Sẽ quay lại', 'Không chê vào đâu được. giá cả hợp lý sẽ ủng hộ dài dài.']",4.6
Little Huỳnh's Kitchen,"['Món Thái', 'Món Trung']","['Sủi cảo', 'Cá hấp chanh', 'Cà ri xanh', 'Đậu phụ Tứ Xuyên', 'Gỏi đu đủ Som Tum', 'Mì vằn thắn', 'Vịt quay Bắc Kinh']","128 Phố Hàng Bài, Ven Sông, Huế","['Không chê vào đâu được. món ăn rất vừa miệng must try!', 'Đồ ăn ngon, sẽ ủng hộ dài dài.']",4.4
Bún Võ,"['Bún', 'Lẩu', 'Cơm văn phòng']","['Bún đậu mắm tôm', 'Lẩu nấm', 'Lẩu hải sản', 'Lẩu ếch', 'Bún ốc', 'Lẩu thái', 'Bún trộn']","159 Phố Cổ, Long Biên, Hà Nội",['Tuyệt vời! món ăn rất vừa miệng'],3.7
Bún Đặc Sản,"['Hải sản', 'Món nhậu']","['Sò huyết nướng', 'Gà rang muối', 'Đậu phụ lướt ván', 'Ếch xào sả ớt', 'Ghẹ hấp', 'Tôm hùm hấp bia', 'Mực xào']","80 Đường Kim Mã, Nam Từ Liêm, Hà Nội","['Đồ ăn ngon, đậm đà hương vị', 'Rất hài lòng. trình bày đẹp mắt chắc chắn sẽ giới thiệu cho bạn bè.']",4.5
Bún Truyền Thống,"['Phở', 'Đồ ăn vặt', 'Cơm văn phòng']","['Cơm cá kho', 'Phở chiên phồng', 'Chè các loại', 'Xoài lắc', 'Phở trộn', 'Phở áp chảo', 'Phở cuốn']","67 Phố Hàng Bài, Hai Bà Trưng, Hà Nội","['Không hài lòng chút nào. món ăn quá ngọt/mặn/nhạt một đi không trở lại.', 'Không hài lòng chút nào. giá quá đắt so với chất lượng']",3.1
Bếp Trần,"['Đồ ăn Việt Nam', 'Lẩu']","['Lẩu nấm', 'Thịt kho tàu', 'Canh chua cá', 'Lẩu bò nhúng dấm', 'Lẩu ếch']","85 Đường Nguyễn Trãi, Đống Đa, Hà Nội",['Ok lah. món ăn ở mức khá cũng là một lựa chọn.'],3.5
Góc Phạm,"['Burger', 'Món Thái']","['Gỏi đu đủ Som Tum', 'Burger cá', 'Cà ri xanh', 'Burger bò phô mai']","111 Đường Giải Phóng, Tân Bình, TP. Hồ Chí Minh","['Ngon xuất sắc! món ăn rất vừa miệng', 'Ngon lắm!']",4.6
The Phạm's Kitchen,['Fast Food'],"['Khoai Tây Chiên', 'Hotdog']","93 Phố Bà Triệu, Quận Trung Tâm, Đà Lạt",['Bình thường. đợi hơi lâu chút'],3.1
Quán Lê Đặc Sản,"['Đồ ăn Việt Nam', 'Hải sản', 'Nướng']","['Cua rang me', 'Ghẹ hấp', 'Hàu nướng mỡ hành', 'Tôm hùm hấp bia', 'Canh chua cá', 'Ba chỉ nướng riềng mẻ', 'Mực xào']","8 Phố Huế, Hoàng Mai, Hà Nội",['Không quá đặc sắc. đợi hơi lâu chút có thể sẽ quay lại nếu tiện.'],3.0
